Time Elapsed (s),Lat (deg),Lon (deg),Geoaltitude (m),Impact pressure (Pa),Meas. Static Temp (K)
9120,41.395,33.132,11270,12333.4,226.5555
9124,41.391,33.143,11271,12331.45,226.5555
9128,41.386,33.154,11271,12331.45,226.5555
9132,41.382,33.164,11272,12329.5,226.5555
9136,41.377,33.176,11273,12262.13,226.6797
9140,41.373,33.187,11272,12264.07,226.6797
9144,41.368,33.198,11272,12264.07,226.6797
9148,41.363,33.209,11271,12266.01,226.6797
9152,41.359,33.22,11271,12266.01,226.6797
9156,41.354,33.231,11272,12264.07,226.6797
9160,41.35,33.241,11272,12218.17,226.5037
9164,41.345,33.252,11273,12216.24,226.5037
9168,41.34,33.264,11272,12153.14,226.6275
9172,41.336,33.275,11272,12153.14,226.6275
9176,41.332,33.286,11271,12155.07,226.6275
9180,41.327,33.297,11272,12218.17,226.5037
9184,41.322,33.308,11270,12333.4,226.5555
9188,41.319,33.318,11269,12335.35,226.5555
9192,41.314,33.33,11268,12271.83,226.6797
9196,41.31,33.341,11270,12286.97,226.3797
9200,41.305,33.352,11272,12218.17,226.5037
9204,41.3,33.364,11271,12285.03,226.3797
9208,41.296,33.375,11271,12285.03,226.3797
9212,41.291,33.386,11271,12285.03,226.3797
9216,41.288,33.396,11271,12220.1,226.5037
9220,41.283,33.408,11272,12218.17,226.5037
9224,41.279,33.419,11273,12228.65,226.3037
9228,41.274,33.43,11271,12220.1,226.5037
9232,41.27,33.441,11272,12283.08,226.3797
9236,41.265,33.453,11270,12286.97,226.3797
9240,41.261,33.464,11270,12286.97,226.3797
9244,41.257,33.474,11270,12352.14,226.2555
9248,41.252,33.486,11271,12350.19,226.2555
9252,41.248,33.497,11269,12354.1,226.2555
9256,41.243,33.508,11268,12402.66,226.431
9260,41.239,33.52,11268,12402.66,226.431
9264,41.234,33.531,11267,12470.58,226.3062
9268,41.23,33.542,11269,12400.7,226.431
9272,41.226,33.552,11270,12398.74,226.431
9276,41.222,33.563,11272,12413.98,226.131
9280,41.217,33.575,11273,12412.01,226.131
9284,41.213,33.586,11271,12415.94,226.131
9288,41.208,33.597,11272,12413.98,226.131
9292,41.203,33.609,11272,12348.24,226.2555
9296,41.199,33.62,11272,12348.24,226.2555
9300,41.195,33.63,11272,12348.24,226.2555
9304,41.19,33.641,11272,12348.24,226.2555
9308,41.186,33.653,11271,12415.94,226.131
9312,41.182,33.663,11271,12350.19,226.2555
9316,41.177,33.675,11271,12428.84,225.931
9320,41.173,33.686,11271,12363.04,226.0555
9324,41.168,33.697,11271,12428.84,225.931
9328,41.164,33.707,11268,12434.74,225.931
9332,41.16,33.719,11270,12417.9,226.131
9336,41.155,33.73,11268,12487.85,226.0062
9340,41.151,33.741,11268,12487.85,226.0062
9344,41.147,33.753,11269,12485.88,226.0062
9348,41.142,33.764,11270,12430.8,225.931
9352,41.137,33.775,11270,12365,226.0555
9356,41.133,33.785,11271,12363.04,226.0555
9360,41.129,33.796,11272,12361.09,226.0555
9364,41.125,33.807,11272,12348.24,226.2555
9368,41.12,33.819,11272,12348.24,226.2555
9372,41.115,33.83,11272,12348.24,226.2555
9376,41.111,33.841,11271,12363.04,226.0555
9380,41.106,33.852,11272,12308.36,225.9797
9384,41.102,33.862,11271,12282.95,225.5037
9388,41.098,33.873,11272,12262,225.8037
9392,41.094,33.884,11272,12178.23,226.2275
9396,41.089,33.895,11272,12178.23,226.2275
9400,41.084,33.907,11273,12176.31,226.2275
9404,41.081,33.918,11272,12178.23,226.2275
9408,41.076,33.929,11272,12178.23,226.2275
9412,41.072,33.939,11271,12199.08,225.9275
9416,41.067,33.951,11270,12182.08,226.2275
9420,41.063,33.961,11269,12249.16,226.1037
9424,41.058,33.972,11268,12303.32,226.1797
9428,41.054,33.984,11268,12303.32,226.1797
9432,41.049,33.995,11269,12366.95,226.0555
9436,41.045,34.006,11269,12366.95,226.0555
9440,41.041,34.016,11270,12430.8,225.931
9444,41.036,34.028,11271,12363.04,226.0555
9448,41.032,34.038,11272,12295.54,226.1797
9452,41.027,34.05,11273,12306.41,225.9797
9456,41.023,34.061,11272,12308.36,225.9797
9460,41.018,34.072,11273,12306.41,225.9797
9464,41.014,34.083,11272,12295.54,226.1797
9468,41.01,34.093,11272,12361.09,226.0555
9472,41.005,34.105,11271,12363.04,226.0555
9476,41.001,34.116,11271,12363.04,226.0555
9480,40.996,34.126,11270,12352.14,226.2555
9484,40.992,34.138,11270,12430.8,225.931
9488,40.987,34.149,11270,12430.8,225.931
9492,40.983,34.16,11269,12419.87,226.131
9496,40.979,34.17,11270,12430.8,225.931
9500,40.974,34.181,11272,12361.09,226.0555
9504,40.97,34.193,11272,12361.09,226.0555
9508,40.965,34.203,11273,12359.13,226.0555
9512,40.961,34.215,11273,12359.13,226.0555
9516,40.956,34.226,11273,12371.99,225.8555
9520,40.951,34.237,11272,12327.42,225.6797
9524,40.948,34.246,11273,12260.06,225.8037
9528,40.943,34.258,11273,12241.41,226.1037
9532,40.939,34.269,11272,12262,225.8037
9536,40.934,34.28,11271,12263.93,225.8037
9540,40.93,34.292,11271,12263.93,225.8037
9544,40.926,34.303,11271,12263.93,225.8037
9548,40.922,34.315,11271,12230.44,225.4275
9552,40.919,34.325,11272,12241.28,225.2275
9556,40.916,34.337,11271,12243.21,225.2275
9560,40.913,34.349,11271,12243.21,225.2275
9564,40.909,34.361,11271,12230.44,225.4275
9568,40.906,34.373,11271,12218.03,225.6275
9572,40.903,34.385,11271,12282.95,225.5037
9576,40.9,34.397,11270,12219.96,225.6275
9580,40.897,34.408,11270,12219.96,225.6275
9584,40.894,34.42,11271,12218.03,225.6275
9588,40.891,34.432,11270,12219.96,225.6275
9592,40.887,34.444,11270,12201.01,225.9275
9596,40.884,34.456,11272,12262,225.8037
9600,40.881,34.468,11270,12265.87,225.8037
9604,40.878,34.48,11271,12263.93,225.8037
9608,40.875,34.49,11270,12331.32,225.6797
9612,40.872,34.502,11270,12265.87,225.8037
9616,40.869,34.514,11272,12327.42,225.6797
9620,40.865,34.526,11272,12327.42,225.6797
9624,40.862,34.539,11271,12329.37,225.6797
9628,40.859,34.55,11272,12262,225.8037
9632,40.856,34.562,11272,12262,225.8037
9636,40.853,34.573,11271,12282.95,225.5037
9640,40.85,34.586,11272,12262,225.8037
9644,40.847,34.597,11271,12282.95,225.5037
9648,40.843,34.609,11272,12281.01,225.5037
9652,40.84,34.621,11271,12230.44,225.4275
9656,40.837,34.633,11270,12297.7,225.3037
9660,40.834,34.645,11269,12286.84,225.5037
9664,40.831,34.655,11269,12286.84,225.5037
9668,40.828,34.668,11270,12284.89,225.5037
9672,40.825,34.679,11271,12282.95,225.5037
9676,40.821,34.691,11272,12228.51,225.4275
9680,40.818,34.704,11271,12282.95,225.5037
9684,40.815,34.716,11271,12295.76,225.3037
9688,40.812,34.727,11269,12299.64,225.3037
9692,40.809,34.738,11270,12297.7,225.3037
9696,40.806,34.75,11270,12297.7,225.3037
9700,40.803,34.763,11271,12295.76,225.3037
9704,40.799,34.774,11271,12295.76,225.3037
9708,40.796,34.786,11271,12282.95,225.5037
9712,40.793,34.798,11272,12281.01,225.5037
9716,40.789,34.81,11272,12327.42,225.6797
9720,40.787,34.821,11272,12327.42,225.6797
9724,40.784,34.833,11271,12310.3,225.9797
9728,40.78,34.845,11271,12329.37,225.6797
9732,40.777,34.856,11270,12331.32,225.6797
9736,40.774,34.869,11272,12327.42,225.6797
9740,40.771,34.881,11271,12282.95,225.5037
9744,40.768,34.893,11271,12295.76,225.3037
9748,40.765,34.903,11271,12308.57,225.1037
9752,40.762,34.916,11271,12295.76,225.3037
9756,40.759,34.927,11271,12295.76,225.3037
9760,40.755,34.939,11272,12293.81,225.3037
9764,40.752,34.952,11272,12293.81,225.3037
9768,40.749,34.964,11272,12281.01,225.5037
9772,40.746,34.975,11272,12216.1,225.6275
9776,40.743,34.986,11274,12212.24,225.6275
9780,40.739,34.998,11273,12279.07,225.5037
9784,40.737,35.01,11271,12329.37,225.6797
9788,40.733,35.022,11268,12400.92,225.5555
9792,40.73,35.034,11268,12367.17,225.1797
9796,40.727,35.046,11269,12312.46,225.1037
9800,40.723,35.058,11271,12262.21,224.9275
9804,40.721,35.069,11272,12260.27,224.9275
9808,40.718,35.081,11272,12325.68,224.8037
9812,40.714,35.093,11272,12325.68,224.8037
9816,40.711,35.104,11272,12325.68,224.8037
9820,40.708,35.117,11272,12325.68,224.8037
9824,40.705,35.128,11272,12306.62,225.1037
9828,40.702,35.14,11273,12304.68,225.1037
9832,40.699,35.151,11273,12239.34,225.2275
9836,40.695,35.163,11273,12258.33,224.9275
9840,40.692,35.175,11272,12241.28,225.2275
9844,40.689,35.187,11271,12308.57,225.1037
9848,40.686,35.199,11272,12241.28,225.2275
9852,40.682,35.211,11272,12260.27,224.9275
9856,40.679,35.222,11271,12262.21,224.9275
9860,40.676,35.233,11271,12262.21,224.9275
9864,40.673,35.246,11270,12204.8,224.7757
9868,40.67,35.257,11270,12283.16,224.6275
9872,40.667,35.269,11271,12281.22,224.6275
9876,40.663,35.282,11271,12281.22,224.6275
9880,40.66,35.294,11271,12202.87,224.7757
9884,40.657,35.305,11272,12148.68,224.6989
9888,40.654,35.316,11273,12199.01,224.7757
9892,40.651,35.328,11273,12134.06,224.8989
9896,40.648,35.34,11272,12200.94,224.7757
9900,40.644,35.351,11272,12260.27,224.9275
9904,40.641,35.364,11271,12262.21,224.9275
9908,40.638,35.376,11271,12262.21,224.9275
9912,40.635,35.387,11270,12264.15,224.9275
9916,40.632,35.398,11271,12262.21,224.9275
9920,40.629,35.41,11272,12260.27,224.9275
9924,40.625,35.422,11272,12325.68,224.8037
9928,40.622,35.434,11272,12306.62,225.1037
9932,40.619,35.446,11271,12374.17,224.9797
9936,40.616,35.458,11269,12378.08,224.9797
9940,40.612,35.47,11270,12376.12,224.9797
9944,40.609,35.48,11271,12374.17,224.9797
9948,40.606,35.493,11270,12441.97,224.8555
9952,40.603,35.505,11269,12431.03,225.0555
9956,40.6,35.517,11270,12441.97,224.8555
9960,40.596,35.529,11272,12344.77,224.5037
9964,40.593,35.541,11271,12359.57,224.3037
9968,40.59,35.552,11271,12306.84,224.2275
9972,40.587,35.563,11270,12374.38,224.1037
9976,40.584,35.575,11270,12361.52,224.3037
9980,40.58,35.587,11270,12414.77,224.3797
9984,40.577,35.599,11270,12361.52,224.3037
9988,40.574,35.611,11271,12306.84,224.2275
9992,40.571,35.623,11272,12226.44,224.3757
9996,40.567,35.634,11273,12302.95,224.2275
10000,40.564,35.645,11273,12302.95,224.2275
10004,40.561,35.657,11273,12302.95,224.2275
10008,40.558,35.669,11269,12376.34,224.1037
10012,40.554,35.681,11269,12429.63,224.1797
10016,40.551,35.693,11266,12488.65,224.2555
10020,40.548,35.704,11269,12429.63,224.1797
10024,40.545,35.716,11268,12431.6,224.1797
10028,40.542,35.727,11271,12425.7,224.1797
10032,40.538,35.739,11271,12359.57,224.3037
10036,40.535,35.751,11271,12359.57,224.3037
10040,40.532,35.762,11270,12427.67,224.1797
10044,40.529,35.775,11269,12376.34,224.1037
10048,40.526,35.786,11271,12372.43,224.1037
10052,40.522,35.798,11271,12372.43,224.1037
10056,40.519,35.809,11272,12304.89,224.2275
10060,40.516,35.821,11272,12370.47,224.1037
10064,40.513,35.832,11269,12442.54,223.9797
10068,40.509,35.844,11268,12444.51,223.9797
10072,40.506,35.856,11268,12444.51,223.9797
10076,40.503,35.868,11268,12397.79,223.8037
10080,40.5,35.88,11272,12264.41,223.7757
10084,40.497,35.89,11275,12258.6,223.7757
10088,40.493,35.903,11272,12343.38,223.6275
10092,40.49,35.914,11271,12411.41,223.5037
10096,40.487,35.925,11269,12415.33,223.5037
10100,40.484,35.937,11269,12349.23,223.6275
10104,40.48,35.95,11270,12268.29,223.7757
10108,40.477,35.961,11272,12343.38,223.6275
10112,40.474,35.971,11272,12343.38,223.6275
10116,40.471,35.984,11271,12345.33,223.6275
10120,40.468,35.995,11271,12345.33,223.6275
10124,40.464,36.007,11272,12277.21,223.5757
10128,40.461,36.019,11273,12275.26,223.5757
10132,40.458,36.031,11273,12210.04,223.6989
10136,40.454,36.042,11272,12211.97,223.6989
10140,40.452,36.052,11271,12279.15,223.5757
10144,40.448,36.065,11268,12364.04,223.4275
10148,40.445,36.077,11267,12366,223.4275
10152,40.442,36.088,11266,12421.22,223.5037
10156,40.438,36.1,11267,12419.26,223.5037
10160,40.435,36.112,11269,12415.33,223.5037
10164,40.432,36.124,11272,12356.23,223.4275
10168,40.429,36.133,11273,12354.27,223.4275
10172,40.426,36.146,11274,12365.17,223.2275
10176,40.422,36.157,11274,12365.17,223.2275
10180,40.419,36.169,11273,12288.06,223.3757
10184,40.416,36.18,11272,12290,223.3757
10188,40.413,36.193,11272,12290,223.3757
10192,40.409,36.204,11273,12222.79,223.4989
10196,40.406,36.215,11272,12243.69,223.1989
10200,40.403,36.227,11272,12290,223.3757
10204,40.4,36.238,11270,12293.89,223.3757
10208,40.396,36.25,11268,12297.78,223.3757
10212,40.393,36.261,11269,12230.52,223.4989
10216,40.39,36.273,11271,12161.25,223.6218
10220,40.386,36.285,11271,12161.25,223.6218
10224,40.383,36.296,11271,12226.65,223.4989
10228,40.38,36.308,11271,12291.95,223.3757
10232,40.377,36.319,11270,12293.89,223.3757
10236,40.374,36.331,11269,12362.09,223.4275
10240,40.37,36.343,11270,12281.09,223.5757
10244,40.367,36.354,11270,12293.89,223.3757
10248,40.364,36.366,11272,12224.72,223.4989
10252,40.361,36.376,11273,12176.31,223.3218
10256,40.357,36.389,11273,12176.31,223.3218
10260,40.354,36.4,11272,12243.69,223.1989
10264,40.351,36.411,11269,12295.83,223.3757
10268,40.347,36.423,11268,12297.78,223.3757
10272,40.344,36.435,11268,12284.97,223.5757
10276,40.341,36.447,11268,12253.16,224.0757
10280,40.338,36.457,11271,12163.31,224.4989
10284,40.334,36.469,11273,12243.48,224.0757
10288,40.331,36.481,11272,12245.42,224.0757
10292,40.328,36.492,11273,12178.37,224.1989
10296,40.325,36.504,11271,12182.22,224.1989
10300,40.321,36.516,11271,12201.15,223.8989
10304,40.318,36.527,11271,12182.22,224.1989
10308,40.315,36.538,11271,12182.22,224.1989
10312,40.312,36.55,11271,12182.22,224.1989
10316,40.308,36.562,11270,12268.29,223.7757
10320,40.305,36.573,11269,12270.23,223.7757
10324,40.302,36.585,11269,12270.23,223.7757
10328,40.298,36.597,11270,12203.08,223.8989
10332,40.295,36.608,11271,12266.35,223.7757
10336,40.292,36.618,11272,12245.42,224.0757
10340,40.288,36.63,11272,12226.44,224.3757
10344,40.285,36.642,11273,12322,223.9275
10348,40.282,36.654,11272,12323.95,223.9275
10352,40.279,36.665,11270,12393.87,223.8037
10356,40.275,36.677,11268,12397.79,223.8037
10360,40.272,36.689,11268,12397.79,223.8037
10364,40.269,36.699,11268,12351.19,223.6275
10368,40.266,36.712,11269,12349.23,223.6275
10372,40.262,36.723,11271,12279.15,223.5757
10376,40.259,36.734,11273,12197.29,223.8989
10380,40.255,36.746,11273,12275.26,223.5757
10384,40.252,36.758,11273,12210.04,223.6989
10388,40.249,36.77,11272,12211.97,223.6989
10392,40.246,36.78,11273,12197.29,223.8989
10396,40.243,36.792,11274,12130.43,224.0218
10400,40.239,36.803,11273,12210.04,223.6989
10404,40.236,36.815,11273,12262.48,223.7757
10408,40.233,36.826,11273,12302.95,224.2275
10412,40.229,36.839,11271,12294.02,224.4275
10416,40.226,36.85,11272,12292.08,224.4275
10420,40.223,36.86,11272,12357.61,224.3037
10424,40.219,36.872,11271,12228.38,224.3757
10428,40.216,36.884,11271,12228.38,224.3757
10432,40.212,36.896,11272,12245.42,224.0757
10436,40.209,36.907,11271,12228.38,224.3757
10440,40.206,36.919,11272,12264.41,223.7757
10444,40.202,36.931,11271,12266.35,223.7757
10448,40.2,36.941,11271,12213.9,223.6989
10452,40.196,36.953,11270,12249.29,224.0757
10456,40.193,36.964,11271,12306.84,224.2275
10460,40.19,36.975,11270,12395.26,224.6797
10464,40.186,36.987,11270,12441.97,224.8555
10468,40.183,36.999,11270,12376.12,224.9797
10472,40.179,37.011,11271,12327.63,224.8037
10476,40.176,37.022,11273,12199.01,224.7757
10480,40.173,37.033,11273,12094.66,224.6218
10484,40.17,37.044,11274,12130.43,224.0218
10488,40.166,37.056,11272,12134.27,224.0218
10492,40.163,37.068,11270,12138.1,224.0218
10496,40.16,37.08,11268,12188,224.1989
10500,40.156,37.091,11268,12234.18,224.3757
10504,40.153,37.101,11267,12314.62,224.2275
10508,40.15,37.114,11267,12301.8,224.4275
10512,40.146,37.125,11269,12297.91,224.4275
10516,40.143,37.136,11270,12230.31,224.3757
10520,40.14,37.148,11271,12136.19,224.0218
10524,40.136,37.16,11270,12203.08,223.8989
10528,40.133,37.172,11269,12329.8,223.9275
10532,40.13,37.182,11269,12310.73,224.2275
10536,40.126,37.194,11271,12359.57,224.3037
10540,40.123,37.206,11271,12359.57,224.3037
10544,40.12,37.217,11272,12292.08,224.4275
10548,40.116,37.228,11272,12304.89,224.2275
10552,40.112,37.241,11271,12266.35,223.7757
10556,40.109,37.252,11273,12275.26,223.5757
10560,40.106,37.263,11274,12273.32,223.5757
10564,40.103,37.274,11272,12343.38,223.6275
10568,40.099,37.286,11272,12323.95,223.9275
10572,40.096,37.297,11271,12306.84,224.2275
10576,40.093,37.308,11272,12370.47,224.1037
10580,40.089,37.32,11271,12372.43,224.1037
10584,40.086,37.331,11272,12357.61,224.3037
10588,40.082,37.344,11270,12308.78,224.2275
10592,40.079,37.354,11270,12327.85,223.9275
10596,40.076,37.366,11269,12329.8,223.9275
10600,40.073,37.377,11268,12444.51,223.9797
10604,40.069,37.389,11269,12429.63,224.1797
10608,40.066,37.401,11269,12416.73,224.3797
10612,40.062,37.412,11269,12482.73,224.2555
10616,40.059,37.422,11269,12443.94,224.8555
10620,40.056,37.435,11268,12512.36,224.731
10624,40.053,37.446,11268,12465.47,224.5555
10628,40.049,37.457,11268,12418.69,224.3797
10632,40.045,37.469,11269,12397.22,224.6797
10636,40.042,37.481,11270,12361.52,224.3037
10640,40.039,37.492,11272,12343.38,223.6275
10644,40.035,37.503,11271,12291.95,223.3757
10648,40.032,37.514,11272,12277.21,223.5757
10652,40.029,37.526,11271,12358.18,223.4275
10656,40.025,37.537,11272,12369.08,223.2275
10660,40.022,37.548,11271,12264.97,222.8989
10664,40.019,37.56,11271,12277.76,222.6989
10668,40.015,37.572,11271,12290.56,222.4989
10672,40.012,37.583,11271,12290.56,222.4989
10676,40.009,37.594,11271,12277.76,222.6989
10680,40.005,37.606,11271,12277.76,222.6989
10684,40.002,37.617,11270,12279.7,222.6989
10688,39.998,37.628,11271,12264.97,222.8989
10692,39.995,37.64,11271,12264.97,222.8989
10696,39.991,37.652,11270,12266.91,222.8989
10700,39.988,37.663,11269,12315.23,223.0757
10704,39.985,37.674,11269,12315.23,223.0757
10708,39.982,37.685,11269,12295.83,223.3757
10712,39.978,37.696,11269,12295.83,223.3757
10716,39.975,37.708,11268,12251.44,223.1989
10720,39.971,37.72,11270,12214.1,222.8218
10724,39.968,37.731,11270,12292.51,222.4989
10728,39.965,37.741,11270,12265.18,222.0218
10732,39.962,37.753,11271,12263.24,222.0218
10736,39.958,37.764,11272,12261.3,222.0218
10740,39.954,37.777,11274,12191.92,222.1445
10744,39.951,37.787,11274,12139.35,222.067
10748,39.948,37.799,11274,12139.35,222.067
10752,39.944,37.811,11273,12128.58,222.267
10756,39.941,37.821,11273,12193.85,222.1445
10760,39.938,37.833,11271,12113.56,222.567
10764,39.935,37.844,11271,12094.38,222.867
10768,39.931,37.855,11270,12214.1,222.8218
10772,39.927,37.867,11269,12294.45,222.4989
10776,39.924,37.879,11268,12296.39,222.4989
10780,39.92,37.89,11269,12248.12,222.3218
10784,39.917,37.902,11272,12242.31,222.3218
10788,39.914,37.912,11272,12176.86,222.4445
10792,39.911,37.924,11274,12206.38,222.8218
10796,39.907,37.935,11273,12195.57,223.0218
10800,39.904,37.946,11272,12210.24,222.8218
10804,39.9,37.958,11271,12224.93,222.6218
10808,39.897,37.969,11272,12222.99,222.6218
10812,39.893,37.981,11271,12224.93,222.6218
10816,39.89,37.991,11270,12292.51,222.4989
10820,39.887,38.003,11270,12345.55,222.5757
10824,39.883,38.014,11270,12411.98,222.6275
10828,39.88,38.026,11270,12478.31,222.5037
10832,39.877,38.038,11271,12476.33,222.5037
10836,39.873,38.049,11271,12476.33,222.5037
10840,39.87,38.059,11271,12422.91,222.4275
10844,39.866,38.071,11272,12341.64,222.5757
10848,39.863,38.082,11272,12341.64,222.5757
10852,39.859,38.094,11272,12328.81,222.7757
10856,39.856,38.105,11271,12311.34,223.0757
10860,39.852,38.117,11271,12371.04,223.2275
10864,39.849,38.129,11269,12428.23,223.3037
10868,39.846,38.139,11271,12424.31,223.3037
10872,39.842,38.151,11270,12392.47,222.9275
10876,39.839,38.162,11271,12343.59,222.5757
10880,39.835,38.173,11272,12288.62,222.4989
10884,39.832,38.185,11270,12226.86,222.6218
10888,39.828,38.197,11271,12244.25,222.3218
10892,39.825,38.208,11271,12132.41,222.267
10896,39.822,38.219,11272,12130.49,222.267
10900,39.818,38.23,11273,12063.54,222.3892
10904,39.815,38.242,11272,12078.1,222.1892
10908,39.811,38.253,11270,12081.92,222.1892
10912,39.808,38.264,11270,12134.33,222.267
10916,39.804,38.276,11269,12182.63,222.4445
10920,39.801,38.288,11268,12250.06,222.3218
10924,39.797,38.299,11268,12296.39,222.4989
10928,39.794,38.309,11268,12296.39,222.4989
10932,39.791,38.321,11268,12250.06,222.3218
10936,39.787,38.333,11269,12248.12,222.3218
10940,39.784,38.344,11270,12311.9,222.1989
10944,39.78,38.356,11271,12356.44,222.3757
10948,39.776,38.367,11269,12440.1,222.2275
10952,39.773,38.379,11269,12506.53,222.1037
10956,39.77,38.389,11270,12438.13,222.2275
10960,39.766,38.401,11271,12436.17,222.2275
10964,39.763,38.413,11270,12358.4,222.3757
10968,39.759,38.423,11270,12438.13,222.2275
10972,39.756,38.435,11269,12426.84,222.4275
10976,39.752,38.447,11270,12525.23,222.6797
10980,39.749,38.457,11270,12559.28,223.0555
10984,39.746,38.469,11270,12680.17,223.0062
10988,39.742,38.48,11271,12658.38,223.3062
10992,39.739,38.492,11271,12591.39,223.431
10996,39.735,38.503,11271,12557.29,223.0555
11000,39.732,38.514,11272,12388.56,222.9275
11004,39.728,38.526,11272,12341.64,222.5757
11008,39.724,38.538,11272,12354.49,222.3757
11012,39.721,38.548,11271,12290.56,222.4989
11016,39.718,38.559,11272,12222.99,222.6218
11020,39.715,38.57,11274,12173.01,222.4445
11024,39.711,38.582,11274,12173.01,222.4445
11028,39.707,38.593,11274,12153.77,222.7445
11032,39.704,38.605,11273,12174.93,222.4445
11036,39.7,38.616,11272,12242.31,222.3218
11040,39.697,38.626,11271,12244.25,222.3218
11044,39.694,38.637,11269,12248.12,222.3218
11048,39.69,38.649,11270,12246.18,222.3218
11052,39.687,38.66,11271,12244.25,222.3218
11056,39.683,38.672,11270,12246.18,222.3218
11060,39.68,38.683,11270,12311.9,222.1989
11064,39.676,38.694,11269,12313.85,222.1989
11068,39.673,38.705,11269,12360.35,222.3757
11072,39.67,38.716,11270,12292.51,222.4989
11076,39.666,38.727,11271,12290.56,222.4989
11080,39.663,38.739,11270,12358.4,222.3757
11084,39.659,38.751,11269,12360.35,222.3757
11088,39.656,38.762,11268,12575.55,221.9797
11092,39.652,38.772,11268,12508.51,222.1037
11096,39.649,38.784,11268,12362.3,222.3757
11100,39.645,38.795,11268,12349.45,222.5757
11104,39.642,38.806,11269,12334.65,222.7757
11108,39.638,38.817,11271,12390.52,222.9275
11112,39.635,38.829,11272,12388.56,222.9275
11116,39.631,38.841,11272,12263.03,222.8989
11120,39.628,38.851,11272,12275.82,222.6989
11124,39.625,38.862,11273,12221.06,222.6218
11128,39.621,38.874,11275,12217.2,222.6218
11132,39.618,38.884,11274,12153.77,222.7445
11136,39.614,38.896,11274,12153.77,222.7445
11140,39.61,38.908,11273,12221.06,222.6218
11144,39.607,38.919,11270,12292.51,222.4989
11148,39.603,38.93,11268,12362.3,222.3757
11152,39.6,38.94,11268,12362.3,222.3757
11156,39.596,38.952,11267,12577.54,221.9797
11160,39.593,38.964,11268,12494.5,221.4275
11164,39.59,38.974,11268,12507.46,221.2275
11168,39.586,38.986,11268,12527.44,220.9275
11172,39.582,38.998,11269,12525.46,220.9275
11176,39.578,39.009,11271,12521.5,220.9275
11180,39.575,39.019,11270,12503.51,221.2275
11184,39.572,39.031,11272,12499.55,221.2275
11188,39.569,39.042,11273,12457.02,220.7757
11192,39.565,39.053,11273,12457.02,220.7757
11196,39.561,39.065,11273,12437.47,221.0757
11200,39.558,39.076,11272,12419.55,221.3757
11204,39.554,39.086,11272,12406.66,221.5757
11208,39.551,39.097,11270,12357.01,221.4989
11212,39.548,39.109,11270,12225.48,221.7445
11216,39.544,39.12,11271,12210.45,221.9445
11220,39.54,39.131,11272,12208.52,221.9445
11224,39.537,39.142,11273,12259.37,222.0218
11228,39.533,39.154,11272,12242.31,222.3218
11232,39.53,39.165,11272,12242.31,222.3218
11236,39.527,39.175,11271,12290.56,222.4989
11240,39.523,39.186,11270,12292.51,222.4989
11244,39.52,39.198,11269,12294.45,222.4989
11248,39.516,39.209,11269,12379.82,222.0757
11252,39.513,39.221,11267,12496.48,221.4275
11256,39.509,39.232,11265,12453.21,221.0757
11260,39.505,39.243,11267,12382.69,221.1989
11264,39.502,39.253,11266,12337.73,221.0218
11268,39.499,39.264,11268,12280.82,220.9445
11272,39.495,39.276,11269,12225.69,220.867
11276,39.492,39.287,11270,12177.61,220.6892
11280,39.488,39.299,11271,12194.95,220.3892
11284,39.484,39.309,11272,12193.03,220.3892
11288,39.481,39.321,11272,12258.89,220.267
11292,39.478,39.331,11271,12241.49,220.567
11296,39.474,39.343,11271,12287.79,220.7445
11300,39.471,39.353,11270,12409.54,220.6989
11304,39.467,39.365,11270,12396.3,220.8989
11308,39.464,39.377,11269,12331.88,221.0218
11312,39.46,39.387,11270,12158.36,220.9892
11316,39.456,39.398,11272,12049.06,220.6572
11320,39.453,39.409,11274,12189.17,220.3892
11324,39.449,39.42,11271,12354.01,220.6218
11328,39.446,39.431,11269,12345.07,220.8218
11332,39.442,39.443,11270,12223.76,220.867
11336,39.439,39.454,11272,12239.55,220.567
11340,39.435,39.465,11272,12285.85,220.7445
11344,39.431,39.476,11269,12345.07,220.8218
11348,39.428,39.486,11268,12347.02,220.8218
11352,39.425,39.498,11266,12363.78,220.6218
11356,39.421,39.509,11267,12348.97,220.8218
11360,39.418,39.52,11267,12361.82,220.6218
11364,39.414,39.532,11268,12413.46,220.6989
11368,39.41,39.543,11268,12466.87,220.7757
11372,39.407,39.554,11268,12347.02,220.8218
11376,39.404,39.564,11270,12289.74,220.7445
11380,39.4,39.576,11271,12307.53,220.4445
11384,39.397,39.587,11271,12354.01,220.6218
11388,39.393,39.598,11270,12289.74,220.7445
11392,39.39,39.61,11272,12219.89,220.867
11396,39.386,39.621,11272,12193.03,220.3892
11400,39.382,39.632,11273,12256.95,220.267
11404,39.379,39.641,11272,12305.58,220.4445
11408,39.376,39.653,11271,12287.79,220.7445
11412,39.372,39.664,11270,12309.48,220.4445
11416,39.368,39.676,11270,12309.48,220.4445
11420,39.365,39.687,11270,12355.96,220.6218
11424,39.361,39.698,11269,12357.92,220.6218
11428,39.357,39.709,11270,12355.96,220.6218
11432,39.354,39.719,11270,12355.96,220.6218
11436,39.351,39.73,11269,12424.4,220.4989
11440,39.347,39.742,11269,12357.92,220.6218
11444,39.343,39.753,11271,12307.53,220.4445
11448,39.34,39.764,11271,12241.49,220.567
